Actor/Name/ProtossClanFlag=ProtossClanFlag
Actor/Name/ZeratulTopBarWarpingOut=ZeratulTopBarWarpingOut
Actor/Name/ZeratulTopBarWarpingOutSound=ZeratulTopBarWarpingOutSound
Behavior/EditorPrefix/ZeratulTopBarWarpingOutExpire=Commander Zeratul -
Behavior/Name/ZeratulTopBarWarpingOutExpire=ZeratulTopBarWarpingOutExpire
Button/EditorPrefix/CommanderPrestige=Commander Prestige -
Button/EditorPrefix/CommanderPrestigeAbathurBiomass=Commander Prestige Abathur -
Button/EditorPrefix/CommanderPrestigeAbathurDeepTunnel=Commander Prestige Abathur -
Button/EditorPrefix/CommanderPrestigeAbathurUltimateEvo=Commander Prestige Abathur -
Button/EditorPrefix/CommanderPrestigeAlarakDeathFleet=Commander Prestige Alarak -
Button/EditorPrefix/CommanderPrestigeAlarakEmpowerMe=Commander Prestige Alarak -
Button/EditorPrefix/CommanderPrestigeAlarakMech=Commander Prestige Alarak -
Button/EditorPrefix/CommanderPrestigeArtanisCombatAbilities=Commander Prestige Artanis -
Button/EditorPrefix/CommanderPrestigeArtanisOrbitalStrike=Commander Prestige Artanis -
Button/EditorPrefix/CommanderPrestigeArtanisPowerField=Commander Prestige Artanis -
Button/EditorPrefix/CommanderPrestigeDehakaClone=Commander Prestige Dehaka -
Button/EditorPrefix/CommanderPrestigeDehakaDevour=Commander Prestige Dehaka -
Button/EditorPrefix/CommanderPrestigeDehakaPackLeaders=Commander Prestige Dehaka -
Button/EditorPrefix/CommanderPrestigeFenixAvenger=Commander Prestige Fenix -
Button/EditorPrefix/CommanderPrestigeFenixDataWeb=Commander Prestige Fenix -
Button/EditorPrefix/CommanderPrestigeFenixSuitSwap=Commander Prestige Fenix -
Button/EditorPrefix/CommanderPrestigeHornerBombingPlatforms=Commander Prestige Horner -
Button/EditorPrefix/CommanderPrestigeHornerMagMines=Commander Prestige Horner -
Button/EditorPrefix/CommanderPrestigeHornerStarport=Commander Prestige Horner -
Button/EditorPrefix/CommanderPrestigeKaraxArmy=Commander Prestige Karax -
Button/EditorPrefix/CommanderPrestigeKaraxStructures=Commander Prestige Karax -
Button/EditorPrefix/CommanderPrestigeKaraxTopBar=Commander Prestige Karax -
Button/EditorPrefix/CommanderPrestigeKerriganAbilities=Commander Prestige Kerrigan -
Button/EditorPrefix/CommanderPrestigeKerriganAssimilationAura=Commander Prestige Kerrigan -
Button/EditorPrefix/CommanderPrestigeKerriganCreep=Commander Prestige Kerrigan -
Button/EditorPrefix/CommanderPrestigeMengskArtillery=Commander Prestige Mengsk -
Button/EditorPrefix/CommanderPrestigeMengskRoyalGuard=Commander Prestige Mengsk -
Button/EditorPrefix/CommanderPrestigeMengskTrooper=Commander Prestige Mengsk -
Button/EditorPrefix/CommanderPrestigeNovaAirlift=Commander Prestige Nova -
Button/EditorPrefix/CommanderPrestigeNovaInfantry=Commander Prestige Nova -
Button/EditorPrefix/CommanderPrestigeNovaStealth=Commander Prestige Nova -
Button/EditorPrefix/CommanderPrestigeRaynorAfterburners=Commander Prestige Raynor -
Button/EditorPrefix/CommanderPrestigeRaynorBioHealth=Commander Prestige Raynor -
Button/EditorPrefix/CommanderPrestigeRaynorStarport=Commander Prestige Raynor -
Button/EditorPrefix/CommanderPrestigeStetmannCombatBuff=Commander Prestige Stetmann -
Button/EditorPrefix/CommanderPrestigeStetmannGary=Commander Prestige Stetmann -
Button/EditorPrefix/CommanderPrestigeStetmannStetellites=Commander Prestige Stetmann -
Button/EditorPrefix/CommanderPrestigeStukov=Commander Prestige Stukov -
Button/EditorPrefix/CommanderPrestigeStukovBunkers=Commander Prestige Stukov -
Button/EditorPrefix/CommanderPrestigeStukovMech=Commander Prestige Stukov -
Button/EditorPrefix/CommanderPrestigeSwannDrill=Commander Prestige Swann -
Button/EditorPrefix/CommanderPrestigeSwannHercules=Commander Prestige Swann -
Button/EditorPrefix/CommanderPrestigeSwannTurrets=Commander Prestige Swann -
Button/EditorPrefix/CommanderPrestigeTychusLoneWolf=Commander Prestige Tychus -
Button/EditorPrefix/CommanderPrestigeTychusOdin=Commander Prestige Tychus -
Button/EditorPrefix/CommanderPrestigeTychusSquadCooldowns=Commander Prestige Tychus -
Button/EditorPrefix/CommanderPrestigeVorazunCrowdControlDamage=Commander Prestige Vorazun -
Button/EditorPrefix/CommanderPrestigeVorazunFrontlineRecall=Commander Prestige Vorazun -
Button/EditorPrefix/CommanderPrestigeVorazunTimestopShadowguard=Commander Prestige Vorazun -
Button/EditorPrefix/CommanderPrestigeZagaraCorruptorsAberrations=Commander Prestige Zagara -
Button/EditorPrefix/CommanderPrestigeZagaraMaxSupply=Commander Prestige Zagara -
Button/EditorPrefix/CommanderPrestigeZagaraZagara=Commander Prestige Zagara -
Button/EditorPrefix/CommanderPrestigeZeratulArtifactFragments=Commander Prestige Zeratul -
Button/EditorPrefix/CommanderPrestigeZeratulTornadoes=Commander Prestige Zeratul -
Button/EditorPrefix/CommanderPrestigeZeratulVoidSeeker=Commander Prestige Zeratul -
Button/EditorPrefix/DefilerMPConsume2=Defiler MP -
Button/EditorPrefix/DrakkenLaserDrillPulseCannonIO2=Laser Drill -
Button/EditorPrefix/KerriganTopBarLocked=Coop Progression -
Button/EditorSuffix/DrakkenLaserDrillPulseCannonIO2=(Issue Order)
Button/EditorSuffix/KerriganTopBarLocked=(Locked)
Camera/Name/High=High Vision Camera
ConsoleSkin/EditorPrefix/ConsoleProtoss_Alliance=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Allstar=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_ArcadePurple=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Classic=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Default=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Fenix=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Forged=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Horde=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Ihanrii=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Nerazim=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Scourge=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_Sentinels=Protoss -
ConsoleSkin/EditorPrefix/ConsoleProtoss_XelNaga=Protoss -
ConsoleSkin/EditorPrefix/ConsoleTerran_Alliance=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Allstar=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_ArcadePurple=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Classic=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_CovertOps=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Default=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Horde=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Horner=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Imperial=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Nova=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Scourge=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Sentinels=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Silver=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_Swann=Terran -
ConsoleSkin/EditorPrefix/ConsoleTerran_XelNaga=Terran -
ConsoleSkin/EditorPrefix/ConsoleZerg_Abathur=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Alliance=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Allstar=Zerg - 
ConsoleSkin/EditorPrefix/ConsoleZerg_ArcadePurple=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Classic=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Default=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Dehaka=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Horde=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Mecha=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_RCZ=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Scourge=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Sentinels=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_XelNaga=Zerg -
ConsoleSkin/EditorPrefix/ConsoleZerg_Zagara=Zerg -
ConsoleSkin/EditorSuffix/ConsoleProtoss_Fenix=- Fenix
ConsoleSkin/EditorSuffix/ConsoleProtoss_Forged=- Alarak
ConsoleSkin/EditorSuffix/ConsoleProtoss_Ihanrii=- Zeratul
ConsoleSkin/EditorSuffix/ConsoleProtoss_Nerazim=- Vorazun
ConsoleSkin/EditorSuffix/ConsoleTerran_Imperial=- Mengsk
ConsoleSkin/EditorSuffix/ConsoleTerran_Nova=- Nova
ConsoleSkin/EditorSuffix/ConsoleTerran_Swann=- Swann
ConsoleSkin/EditorSuffix/ConsoleZerg_Abathur=- Abathur
ConsoleSkin/EditorSuffix/ConsoleZerg_Dehaka=- Dehaka
ConsoleSkin/EditorSuffix/ConsoleZerg_Mecha=- Stetmann
ConsoleSkin/EditorSuffix/ConsoleZerg_Zagara=- Zagara
Emoticon/EditorPrefix/SakuraAmazing=Sakura -
Emoticon/EditorPrefix/SakuraCool=Sakura -
Emoticon/EditorPrefix/SakuraGG=Sakura -
Emoticon/EditorPrefix/SakuraHappy=Sakura -
Emoticon/EditorPrefix/SakuraPet=Sakura -
Emoticon/EditorPrefix/SakuraThinking=Sakura -
Emoticon/EditorPrefix/SakuraWaHaHa=Sakura -
Emoticon/EditorPrefix/SakuraWhat=Sakura -
Emoticon/EditorPrefix/SakuraYohoo=Sakura -
EmoticonPack/EditorPrefix/AbathurEmoticonPack=Hots -
EmoticonPack/EditorPrefix/AbathurEmoticonPack2=Hots -
EmoticonPack/EditorPrefix/AbstractEmoticonPack=Hots -
EmoticonPack/EditorPrefix/AlarakEmoticonPack=Hots -
EmoticonPack/EditorPrefix/AlarakEmoticonPack2=Hots -
EmoticonPack/EditorPrefix/AlexstraszaPack1=Hots -
EmoticonPack/EditorPrefix/AlexstraszaPack2=Hots -
EmoticonPack/EditorPrefix/AnaPack1=Hots -
EmoticonPack/EditorPrefix/AnaPack2=Hots -
EmoticonPack/EditorPrefix/AnubarakEmoticonPack=Hots -
EmoticonPack/EditorPrefix/AnubarakEmoticonPack2=Hots -
EmoticonPack/EditorPrefix/ArtanisEmoticonPack=Hots -
